GEPARALLELUPS-MIB::imv                   1.3.6.1.4.1.818
GEPARALLELUPS-MIB::geHardware            1.3.6.1.4.1.818.1
GEPARALLELUPS-MIB::geUPS                 1.3.6.1.4.1.818.1.1
GEPARALLELUPS-MIB::geDiscoveredUPSsMask  1.3.6.1.4.1.818.1.1.1
GEPARALLELUPS-MIB::geRequestPacket       1.3.6.1.4.1.818.1.1.2
GEPARALLELUPS-MIB::geReplyPacket         1.3.6.1.4.1.818.1.1.3

GEPARALLELUPS-MIB::geGenericUPS          1.3.6.1.4.1.818.1.1.10
GEPARALLELUPS-MIB::upsIdent              1.3.6.1.4.1.818.1.1.10.1
GEPARALLELUPS-MIB::upsIdentManufacturer  1.3.6.1.4.1.818.1.1.10.1.1
GEPARALLELUPS-MIB::upsIdentModel         1.3.6.1.4.1.818.1.1.10.1.2
GEPARALLELUPS-MIB::upsIdentUPSSoftwareVersion 1.3.6.1.4.1.818.1.1.10.1.3
GEPARALLELUPS-MIB::upsIdentAgentSoftwareVersion 1.3.6.1.4.1.818.1.1.10.1.4
GEPARALLELUPS-MIB::upsIdentName          1.3.6.1.4.1.818.1.1.10.1.5
GEPARALLELUPS-MIB::upsIdentAttachedDevices 1.3.6.1.4.1.818.1.1.10.1.6
GEPARALLELUPS-MIB::upsIdentUPSSerialNumber 1.3.6.1.4.1.818.1.1.10.1.7
GEPARALLELUPS-MIB::upsIdentComProtVersion 1.3.6.1.4.1.818.1.1.10.1.8
GEPARALLELUPS-MIB::upsIdentOperatingTime 1.3.6.1.4.1.818.1.1.10.1.9

GEPARALLELUPS-MIB::upsBattery            1.3.6.1.4.1.818.1.1.10.2
GEPARALLELUPS-MIB::upsBatteryStatus      1.3.6.1.4.1.818.1.1.10.2.1
GEPARALLELUPS-MIB::upsSecondsOnBattery   1.3.6.1.4.1.818.1.1.10.2.2
GEPARALLELUPS-MIB::upsEstimatedMinutesRemaining 1.3.6.1.4.1.818.1.1.10.2.3
GEPARALLELUPS-MIB::upsEstimatedChargeRemaining 1.3.6.1.4.1.818.1.1.10.2.4
GEPARALLELUPS-MIB::upsBatteryVoltage     1.3.6.1.4.1.818.1.1.10.2.5
GEPARALLELUPS-MIB::upsBatteryCurrent     1.3.6.1.4.1.818.1.1.10.2.6
GEPARALLELUPS-MIB::upsBatteryTemperature 1.3.6.1.4.1.818.1.1.10.2.7
GEPARALLELUPS-MIB::upsBatteryRipple      1.3.6.1.4.1.818.1.1.10.2.8

GEPARALLELUPS-MIB::upsInput              1.3.6.1.4.1.818.1.1.10.3
GEPARALLELUPS-MIB::upsInputLineBads      1.3.6.1.4.1.818.1.1.10.3.1
GEPARALLELUPS-MIB::upsInputNumLines      1.3.6.1.4.1.818.1.1.10.3.2
GEPARALLELUPS-MIB::upsInputTable         1.3.6.1.4.1.818.1.1.10.3.3
GEPARALLELUPS-MIB::upsInputEntry         1.3.6.1.4.1.818.1.1.10.3.3.1
GEPARALLELUPS-MIB::upsInputLineIndex     1.3.6.1.4.1.818.1.1.10.3.3.1.1
GEPARALLELUPS-MIB::upsInputFrequency     1.3.6.1.4.1.818.1.1.10.3.3.1.2
GEPARALLELUPS-MIB::upsInputVoltage       1.3.6.1.4.1.818.1.1.10.3.3.1.3
GEPARALLELUPS-MIB::upsInputCurrent       1.3.6.1.4.1.818.1.1.10.3.3.1.4
GEPARALLELUPS-MIB::upsInputTruePower     1.3.6.1.4.1.818.1.1.10.3.3.1.5
GEPARALLELUPS-MIB::upsInputVoltageMin    1.3.6.1.4.1.818.1.1.10.3.3.1.6
GEPARALLELUPS-MIB::upsInputVoltageMax    1.3.6.1.4.1.818.1.1.10.3.3.1.7

GEPARALLELUPS-MIB::upsOutput             1.3.6.1.4.1.818.1.1.10.4
GEPARALLELUPS-MIB::upsOutputSource       1.3.6.1.4.1.818.1.1.10.4.1
GEPARALLELUPS-MIB::upsOutputFrequency    1.3.6.1.4.1.818.1.1.10.4.2
GEPARALLELUPS-MIB::upsOutputNumLines     1.3.6.1.4.1.818.1.1.10.4.3
GEPARALLELUPS-MIB::upsOutputTable        1.3.6.1.4.1.818.1.1.10.4.4
GEPARALLELUPS-MIB::upsOutputEntry        1.3.6.1.4.1.818.1.1.10.4.4.1
GEPARALLELUPS-MIB::upsOutputLineIndex    1.3.6.1.4.1.818.1.1.10.4.4.1.1
GEPARALLELUPS-MIB::upsOutputVoltage      1.3.6.1.4.1.818.1.1.10.4.4.1.2
