GESINGLEUPS-MIB::imv                     1.3.6.1.4.1.818
GESINGLEUPS-MIB::geHardware              1.3.6.1.4.1.818.1
GESINGLEUPS-MIB::geUPS                   1.3.6.1.4.1.818.1.1
GESINGLEUPS-MIB::geDiscoveredUPSsMask    1.3.6.1.4.1.818.1.1.1
GESINGLEUPS-MIB::geRequestPacket         1.3.6.1.4.1.818.1.1.2
GESINGLEUPS-MIB::geReplyPacket           1.3.6.1.4.1.818.1.1.3
GESINGLEUPS-MIB::geGenericUPS            1.3.6.1.4.1.818.1.1.10
GESINGLEUPS-MIB::upsIdentgen             1.3.6.1.4.1.818.1.1.10.1
GESINGLEUPS-MIB::upsIdentManufacturergen 1.3.6.1.4.1.818.1.1.10.1.1
GESINGLEUPS-MIB::upsIdentModelgen        1.3.6.1.4.1.818.1.1.10.1.2
GESINGLEUPS-MIB::upsIdentUPSSoftwareVersiongen 1.3.6.1.4.1.818.1.1.10.1.3
GESINGLEUPS-MIB::upsIdentAgentSoftwareVersiongen 1.3.6.1.4.1.818.1.1.10.1.4
GESINGLEUPS-MIB::upsIdentNamegen         1.3.6.1.4.1.818.1.1.10.1.5
GESINGLEUPS-MIB::upsIdentAttachedDevicesgen 1.3.6.1.4.1.818.1.1.10.1.6
GESINGLEUPS-MIB::upsIdentUPSSerialNumbergen 1.3.6.1.4.1.818.1.1.10.1.7
GESINGLEUPS-MIB::upsIdentComProtVersiongen 1.3.6.1.4.1.818.1.1.10.1.8
GESINGLEUPS-MIB::upsIdentOperatingTimegen 1.3.6.1.4.1.818.1.1.10.1.9
GESINGLEUPS-MIB::upsBatterygen           1.3.6.1.4.1.818.1.1.10.2
GESINGLEUPS-MIB::upsBatteryStatusgen     1.3.6.1.4.1.818.1.1.10.2.1
GESINGLEUPS-MIB::upsSecondsOnBatterygen  1.3.6.1.4.1.818.1.1.10.2.2
GESINGLEUPS-MIB::upsEstimatedMinutesRemaininggen 1.3.6.1.4.1.818.1.1.10.2.3
GESINGLEUPS-MIB::upsEstimatedChargeRemaininggen 1.3.6.1.4.1.818.1.1.10.2.4
GESINGLEUPS-MIB::upsBatteryVoltagegen    1.3.6.1.4.1.818.1.1.10.2.5
GESINGLEUPS-MIB::upsBatteryCurrentgen    1.3.6.1.4.1.818.1.1.10.2.6
GESINGLEUPS-MIB::upsBatteryTemperaturegen 1.3.6.1.4.1.818.1.1.10.2.7
GESINGLEUPS-MIB::upsBatteryRipplegen     1.3.6.1.4.1.818.1.1.10.2.8
GESINGLEUPS-MIB::upsInputgen             1.3.6.1.4.1.818.1.1.10.3
GESINGLEUPS-MIB::upsInputLineBadsgen     1.3.6.1.4.1.818.1.1.10.3.1
GESINGLEUPS-MIB::upsInputNumLinesgen     1.3.6.1.4.1.818.1.1.10.3.2
GESINGLEUPS-MIB::upsInputGenTable        1.3.6.1.4.1.818.1.1.10.3.3
GESINGLEUPS-MIB::upsInputGenEntry        1.3.6.1.4.1.818.1.1.10.3.3.1
GESINGLEUPS-MIB::upsInputLineIndexgen    1.3.6.1.4.1.818.1.1.10.3.3.1.1
GESINGLEUPS-MIB::upsInputFrequencygen    1.3.6.1.4.1.818.1.1.10.3.3.1.2
GESINGLEUPS-MIB::upsInputVoltagegen      1.3.6.1.4.1.818.1.1.10.3.3.1.3
GESINGLEUPS-MIB::upsInputCurrentgen      1.3.6.1.4.1.818.1.1.10.3.3.1.4
GESINGLEUPS-MIB::upsInputTruePowergen    1.3.6.1.4.1.818.1.1.10.3.3.1.5
GESINGLEUPS-MIB::upsInputVoltageMingen   1.3.6.1.4.1.818.1.1.10.3.3.1.6
GESINGLEUPS-MIB::upsInputVoltageMaxgen   1.3.6.1.4.1.818.1.1.10.3.3.1.7
GESINGLEUPS-MIB::upsOutputgen            1.3.6.1.4.1.818.1.1.10.4
GESINGLEUPS-MIB::upsOutputSourcegen      1.3.6.1.4.1.818.1.1.10.4.1
GESINGLEUPS-MIB::upsOutputFrequencygen   1.3.6.1.4.1.818.1.1.10.4.2
GESINGLEUPS-MIB::upsOutputNumLinesgen    1.3.6.1.4.1.818.1.1.10.4.3
GESINGLEUPS-MIB::upsOutputGenTable       1.3.6.1.4.1.818.1.1.10.4.4
GESINGLEUPS-MIB::upsOutputGenEntry       1.3.6.1.4.1.818.1.1.10.4.4.1
GESINGLEUPS-MIB::upsOutputLineIndexgen   1.3.6.1.4.1.818.1.1.10.4.4.1.1
GESINGLEUPS-MIB::upsOutputVoltagegen     1.3.6.1.4.1.818.1.1.10.4.4.1.2
GESINGLEUPS-MIB::upsOutputCurrentgen     1.3.6.1.4.1.818.1.1.10.4.4.1.3
GESINGLEUPS-MIB::upsOutputPowergen       1.3.6.1.4.1.818.1.1.10.4.4.1.4
GESINGLEUPS-MIB::upsOutputPercentLoadgen 1.3.6.1.4.1.818.1.1.10.4.4.1.5
GESINGLEUPS-MIB::upsOutputPowerFactorgen 1.3.6.1.4.1.818.1.1.10.4.4.1.6
GESINGLEUPS-MIB::upsOutputPeakCurrentgen 1.3.6.1.4.1.818.1.1.10.4.4.1.7
GESINGLEUPS-MIB::upsOutputShareCurrentgen 1.3.6.1.4.1.818.1.1.10.4.4.1.8
GESINGLEUPS-MIB::upsBypassgen            1.3.6.1.4.1.818.1.1.10.5
GESINGLEUPS-MIB::upsBypassFrequencygen   1.3.6.1.4.1.818.1.1.10.5.1
GESINGLEUPS-MIB::upsBypassNumLinesgen    1.3.6.1.4.1.818.1.1.10.5.2
GESINGLEUPS-MIB::upsBypassGenTable       1.3.6.1.4.1.818.1.1.10.5.3
GESINGLEUPS-MIB::upsBypassGenEntry       1.3.6.1.4.1.818.1.1.10.5.3.1
GESINGLEUPS-MIB::upsBypassLineIndexgen   1.3.6.1.4.1.818.1.1.10.5.3.1.1
GESINGLEUPS-MIB::upsBypassVoltagegen     1.3.6.1.4.1.818.1.1.10.5.3.1.2
GESINGLEUPS-MIB::upsBypassCurrentgen     1.3.6.1.4.1.818.1.1.10.5.3.1.3
GESINGLEUPS-MIB::upsBypassPowergen       1.3.6.1.4.1.818.1.1.10.5.3.1.4
GESINGLEUPS-MIB::upsAlarmgen             1.3.6.1.4.1.818.1.1.10.6
GESINGLEUPS-MIB::upsAlarmsPresentgen     1.3.6.1.4.1.818.1.1.10.6.1
GESINGLEUPS-MIB::upsAlarmGenTable        1.3.6.1.4.1.818.1.1.10.6.2
GESINGLEUPS-MIB::upsAlarmGenEntry        1.3.6.1.4.1.818.1.1.10.6.2.1
GESINGLEUPS-MIB::upsAlarmIdgen           1.3.6.1.4.1.818.1.1.10.6.2.1.1
GESINGLEUPS-MIB::upsAlarmDescrgen        1.3.6.1.4.1.818.1.1.10.6.2.1.2
GESINGLEUPS-MIB::upsAlarmTimegen         1.3.6.1.4.1.818.1.1.10.6.2.1.3
GESINGLEUPS-MIB::upsWellKnownAlarmsgen   1.3.6.1.4.1.818.1.1.10.6.3
GESINGLEUPS-MIB::upsAlarmBatteryBadgen   1.3.6.1.4.1.818.1.1.10.6.3.1
GESINGLEUPS-MIB::upsAlarmOnBatterygen    1.3.6.1.4.1.818.1.1.10.6.3.2
GESINGLEUPS-MIB::upsAlarmLowBatterygen   1.3.6.1.4.1.818.1.1.10.6.3.3
GESINGLEUPS-MIB::upsAlarmDepletedBatterygen 1.3.6.1.4.1.818.1.1.10.6.3.4
GESINGLEUPS-MIB::upsAlarmTempBadgen      1.3.6.1.4.1.818.1.1.10.6.3.5
GESINGLEUPS-MIB::upsAlarmInputBadgen     1.3.6.1.4.1.818.1.1.10.6.3.6
GESINGLEUPS-MIB::upsAlarmOutputBadgen    1.3.6.1.4.1.818.1.1.10.6.3.7
GESINGLEUPS-MIB::upsAlarmOutputOverloadgen 1.3.6.1.4.1.818.1.1.10.6.3.8
GESINGLEUPS-MIB::upsAlarmOnBypassgen     1.3.6.1.4.1.818.1.1.10.6.3.9
GESINGLEUPS-MIB::upsAlarmBypassBadgen    1.3.6.1.4.1.818.1.1.10.6.3.10
GESINGLEUPS-MIB::upsAlarmOutputOffAsRequestedgen 1.3.6.1.4.1.818.1.1.10.6.3.11
GESINGLEUPS-MIB::upsAlarmUpsOffAsRequestedgen 1.3.6.1.4.1.818.1.1.10.6.3.12
GESINGLEUPS-MIB::upsAlarmChargerFailedgen 1.3.6.1.4.1.818.1.1.10.6.3.13
GESINGLEUPS-MIB::upsAlarmUpsOutputOffgen 1.3.6.1.4.1.818.1.1.10.6.3.14
GESINGLEUPS-MIB::upsAlarmUpsSystemOffgen 1.3.6.1.4.1.818.1.1.10.6.3.15
GESINGLEUPS-MIB::upsAlarmFanFailuregen   1.3.6.1.4.1.818.1.1.10.6.3.16
GESINGLEUPS-MIB::upsAlarmFuseFailuregen  1.3.6.1.4.1.818.1.1.10.6.3.17
GESINGLEUPS-MIB::upsAlarmGeneralFaultgen 1.3.6.1.4.1.818.1.1.10.6.3.18
GESINGLEUPS-MIB::upsAlarmDiagnosticTestFailedgen 1.3.6.1.4.1.818.1.1.10.6.3.19
GESINGLEUPS-MIB::upsAlarmCommunicationsLostgen 1.3.6.1.4.1.818.1.1.10.6.3.20
GESINGLEUPS-MIB::upsAlarmAwaitingPowergen 1.3.6.1.4.1.818.1.1.10.6.3.21
GESINGLEUPS-MIB::upsAlarmShutdownPendinggen 1.3.6.1.4.1.818.1.1.10.6.3.22
GESINGLEUPS-MIB::upsAlarmShutdownImminentgen 1.3.6.1.4.1.818.1.1.10.6.3.23
GESINGLEUPS-MIB::upsAlarmTestInProgressgen 1.3.6.1.4.1.818.1.1.10.6.3.24
GESINGLEUPS-MIB::upsAlarmReceptacleOffgen 1.3.6.1.4.1.818.1.1.10.6.3.25
GESINGLEUPS-MIB::upsAlarmHighSpeedBusFailuregen 1.3.6.1.4.1.818.1.1.10.6.3.26
GESINGLEUPS-MIB::upsAlarmHighSpeedBusJACRCFailuregen 1.3.6.1.4.1.818.1.1.10.6.3.27
GESINGLEUPS-MIB::upsAlarmConnectivityBusFailuregen 1.3.6.1.4.1.818.1.1.10.6.3.28
GESINGLEUPS-MIB::upsAlarmHighSpeedBusJBCRCFailuregen 1.3.6.1.4.1.818.1.1.10.6.3.29
GESINGLEUPS-MIB::upsAlarmCurrentSharinggen 1.3.6.1.4.1.818.1.1.10.6.3.30
GESINGLEUPS-MIB::upsAlarmDCRipplegen     1.3.6.1.4.1.818.1.1.10.6.3.31
GESINGLEUPS-MIB::upsAlarmMaskAgen        1.3.6.1.4.1.818.1.1.10.6.4
GESINGLEUPS-MIB::upsTestgen              1.3.6.1.4.1.818.1.1.10.7
GESINGLEUPS-MIB::upsTestIdgen            1.3.6.1.4.1.818.1.1.10.7.1
GESINGLEUPS-MIB::upsTestSpinLockgen      1.3.6.1.4.1.818.1.1.10.7.2
GESINGLEUPS-MIB::upsTestResultsSummarygen 1.3.6.1.4.1.818.1.1.10.7.3
GESINGLEUPS-MIB::upsTestResultsDetailgen 1.3.6.1.4.1.818.1.1.10.7.4
GESINGLEUPS-MIB::upsTestStartTimegen     1.3.6.1.4.1.818.1.1.10.7.5
GESINGLEUPS-MIB::upsTestElapsedTimegen   1.3.6.1.4.1.818.1.1.10.7.6
GESINGLEUPS-MIB::upsWellKnownTestsgen    1.3.6.1.4.1.818.1.1.10.7.7
GESINGLEUPS-MIB::upsTestNoTestsInitiatedgen 1.3.6.1.4.1.818.1.1.10.7.7.1
GESINGLEUPS-MIB::upsTestAbortTestInProgressgen 1.3.6.1.4.1.818.1.1.10.7.7.2
GESINGLEUPS-MIB::upsTestGeneralSystemsTestgen 1.3.6.1.4.1.818.1.1.10.7.7.3
GESINGLEUPS-MIB::upsTestQuickBatteryTestgen 1.3.6.1.4.1.818.1.1.10.7.7.4
GESINGLEUPS-MIB::upsTestDeepBatteryCalibrationgen 1.3.6.1.4.1.818.1.1.10.7.7.5
GESINGLEUPS-MIB::upsControlgen           1.3.6.1.4.1.818.1.1.10.8
GESINGLEUPS-MIB::upsShutdownTypegen      1.3.6.1.4.1.818.1.1.10.8.1
GESINGLEUPS-MIB::upsShutdownAfterDelaygen 1.3.6.1.4.1.818.1.1.10.8.2
GESINGLEUPS-MIB::upsStartupAfterDelaygen 1.3.6.1.4.1.818.1.1.10.8.3
GESINGLEUPS-MIB::upsRebootWithDurationgen 1.3.6.1.4.1.818.1.1.10.8.4
GESINGLEUPS-MIB::upsAutoRestartgen       1.3.6.1.4.1.818.1.1.10.8.5
GESINGLEUPS-MIB::upsReceptaclesNumgen    1.3.6.1.4.1.818.1.1.10.8.6
GESINGLEUPS-MIB::upsReceptacleGenTable   1.3.6.1.4.1.818.1.1.10.8.7
GESINGLEUPS-MIB::upsReceptacleGenEntry   1.3.6.1.4.1.818.1.1.10.8.7.1
GESINGLEUPS-MIB::upsReceptacleLineIndexgen 1.3.6.1.4.1.818.1.1.10.8.7.1.1
GESINGLEUPS-MIB::upsReceptacleOnOffgen   1.3.6.1.4.1.818.1.1.10.8.7.1.2
GESINGLEUPS-MIB::upsUPSModegen           1.3.6.1.4.1.818.1.1.10.8.8
GESINGLEUPS-MIB::upsRectifierOnOffgen    1.3.6.1.4.1.818.1.1.10.8.9
GESINGLEUPS-MIB::upsBatteryChargeMethodgen 1.3.6.1.4.1.818.1.1.10.8.10
GESINGLEUPS-MIB::upsInverterOnOffgen     1.3.6.1.4.1.818.1.1.10.8.11
GESINGLEUPS-MIB::upsBypassOnOffgen       1.3.6.1.4.1.818.1.1.10.8.12
GESINGLEUPS-MIB::upsLoadSourcegen        1.3.6.1.4.1.818.1.1.10.8.13
GESINGLEUPS-MIB::upsConfiggen            1.3.6.1.4.1.818.1.1.10.9
GESINGLEUPS-MIB::upsConfigInputVoltagegen 1.3.6.1.4.1.818.1.1.10.9.1
GESINGLEUPS-MIB::upsConfigInputFreqgen   1.3.6.1.4.1.818.1.1.10.9.2
GESINGLEUPS-MIB::upsConfigOutputVoltagegen 1.3.6.1.4.1.818.1.1.10.9.3
GESINGLEUPS-MIB::upsConfigOutputFreqgen  1.3.6.1.4.1.818.1.1.10.9.4
GESINGLEUPS-MIB::upsConfigOutputVAgen    1.3.6.1.4.1.818.1.1.10.9.5
GESINGLEUPS-MIB::upsConfigOutputPowergen 1.3.6.1.4.1.818.1.1.10.9.6
GESINGLEUPS-MIB::upsConfigLowBattTimegen 1.3.6.1.4.1.818.1.1.10.9.7
GESINGLEUPS-MIB::upsConfigAudibleStatusgen 1.3.6.1.4.1.818.1.1.10.9.8
GESINGLEUPS-MIB::upsConfigLowVoltageTransferPointgen 1.3.6.1.4.1.818.1.1.10.9.9
